date,number_of_strikes,center_point_geom
2016-08-18,23,POINT(-97.92 29.93)
2016-08-29,37,POINT(-102.95 33.86)
2016-08-28,19,POINT(-88.09 38.89)
2016-08-14,45,POINT(-112.54 39.72)
2016-08-20,19,POINT(-104.18 42.12)
2016-08-24,2,POINT(-84.68 33.49)
2016-08-05,43,POINT(-102.82 20.13)
2016-08-30,26,POINT(-111.41 28.35)
2016-08-30,18,POINT(-91.85 43.88)
2016-08-08,1,POINT(-96.91 43.99)
2016-08-28,37,POINT(-98.52 30.97)
2016-08-06,44,POINT(-112.12 23.42)
2016-08-26,50,POINT(-93.17 34.68)
2016-08-26,48,POINT(-81.36 29.40)
2016-08-06,4,POINT(-104.45 31.78)
2016-08-29,39,POINT(-115.43 30.56)
2016-08-14,48,POINT(-101.69 25.18)
2016-08-01,32,POINT(-93.06 44.02)
2016-08-06,19,POINT(-83.25 37.71)
2016-08-24,50,POINT(-93.12 29.40)
2016-08-30,15,POINT(-110.46 23.51)
2016-08-11,39,POINT(-105.07 24.24)
2016-08-26,23,POINT(-104.46 37.89)
2016-08-30,15,POINT(-97.01 32.69)
2016-08-14,41,POINT(-100.53 36.12)
2016-08-26,13,POINT(-83.23 47.92)
2016-08-22,40,POINT(-113.07 25.01)
2016-08-28,17,POINT(-108.45 25.61)
2016-08-24,44,POINT(-86.32 38.58)
2016-08-26,49,POINT(-85.38 48.56)
2016-08-08,47,POINT(-100.62 25.85)
2016-08-09,50,POINT(-104.64 36.85)
2016-08-06,43,POINT(-93.88 32.27)
2016-08-26,44,POINT(-100.33 41.30)
2016-08-23,9,POINT(-102.25 25.02)
2016-08-04,41,POINT(-97.38 43.88)
2016-08-13,7,POINT(-111.18 20.98)
2016-08-28,41,POINT(-111.01 28.66)
2016-08-02,42,POINT(-88.77 36.97)
2016-08-28,3,POINT(-89.10 34.86)
2016-08-16,20,POINT(-99.57 37.18)
2016-08-08,29,POINT(-109.28 36.29)
2016-08-07,3,POINT(-80.36 36.26)
2016-08-27,38,POINT(-89.73 42.80)
2016-08-30,24,POINT(-102.35 26.56)
2016-08-15,47,POINT(-102.99 42.08)
2016-08-12,9,POINT(-93.85 27.43)
2016-08-10,6,POINT(-85.01 20.97)
2016-08-27,19,POINT(-109.49 45.87)
2016-08-26,21,POINT(-116.52 45.96)
2016-08-28,48,POINT(-115.30 44.36)
2016-08-08,27,POINT(-111.60 42.13)
2016-08-08,12,POINT(-92.43 45.83)
2016-08-01,13,POINT(-95.59 32.85)
2016-08-22,9,POINT(-95.35 43.55)
2016-08-07,35,POINT(-87.46 44.16)
2016-08-13,24,POINT(-97.20 35.97)
2016-08-11,34,POINT(-96.13 25.05)
2016-08-09,33,POINT(-80.84 28.78)
2016-08-28,18,POINT(-97.09 48.57)
2016-08-03,11,POINT(-99.42 47.00)
2016-08-31,17,POINT(-87.39 24.07)
2016-08-25,31,POINT(-90.00 32.35)
2016-08-09,19,POINT(-117.63 28.32)
2016-08-12,48,POINT(-93.76 41.04)
2016-08-21,22,POINT(-114.69 24.39)
2016-08-17,8,POINT(-107.12 27.43)
2016-08-13,30,POINT(-86.26 31.78)
2016-08-22,5,POINT(-114.31 38.97)
2016-08-27,10,POINT(-94.89 31.26)
2016-08-18,49,POINT(-116.98 43.84)
2016-08-11,15,POINT(-89.24 32.09)
2016-08-31,44,POINT(-90.01 40.84)
2016-08-01,47,POINT(-84.91 33.64)
2016-08-04,44,POINT(-100.48 37.46)
2016-08-29,26,POINT(-85.24 45.42)
2016-08-09,36,POINT(-116.27 49.16)
2016-08-06,24,POINT(-94.61 40.92)
2016-08-19,6,POINT(-86.00 43.87)
2016-08-31,26,POINT(-104.09 49.04)
2016-08-09,1,POINT(-87.01 34.84)
2016-08-02,17,POINT(-107.09 28.51)
2016-08-04,35,POINT(-98.11 23.92)
2016-08-20,8,POINT(-85.90 43.65)
2016-08-14,30,POINT(-84.23 42.87)
2016-08-12,24,POINT(-118.16 38.79)
2016-08-24,44,POINT(-86.53 20.49)
2016-08-26,48,POINT(-82.82 24.74)
2016-08-11,44,POINT(-101.74 49.76)
2016-08-14,17,POINT(-102.89 49.87)
2016-08-20,38,POINT(-83.62 46.46)
2016-08-17,25,POINT(-107.93 46.23)
2016-08-04,41,POINT(-84.94 22.80)
2016-08-13,24,POINT(-105.58 22.47)
2016-08-29,7,POINT(-93.42 39.47)
2016-08-19,44,POINT(-117.93 38.77)
2016-08-07,15,POINT(-90.96 42.66)
2016-08-09,31,POINT(-102.83 22.74)
2016-08-02,2,POINT(-116.19 26.40)
2016-08-23,40,POINT(-116.88 37.81)
2016-08-14,36,POINT(-99.22 33.35)
2016-08-01,21,POINT(-119.68 30.31)
2016-08-17,40,POINT(-115.18 45.81)
2016-08-30,15,POINT(-92.24 34.33)
2016-08-26,42,POINT(-110.84 22.68)
2016-08-18,5,POINT(-87.76 23.10)
2016-08-22,41,POINT(-105.30 28.98)
2016-08-24,30,POINT(-104.69 44.40)
2016-08-31,45,POINT(-85.02 39.25)
2016-08-24,20,POINT(-92.91 22.05)
2016-08-24,42,POINT(-97.47 38.31)
2016-08-22,27,POINT(-113.44 30.54)
2016-08-07,8,POINT(-111.48 42.45)
2016-08-12,9,POINT(-83.20 38.48)
2016-08-14,3,POINT(-102.30 26.52)
2016-08-03,3,POINT(-84.14 24.20)
2016-08-31,20,POINT(-115.07 41.90)
2016-08-22,32,POINT(-105.94 32.88)
2016-08-30,8,POINT(-88.36 27.43)
2016-08-11,7,POINT(-94.22 27.45)
2016-08-20,16,POINT(-95.96 41.64)
2016-08-11,35,POINT(-108.60 48.24)
2016-08-22,9,POINT(-118.93 45.41)
2016-08-28,25,POINT(-84.97 26.16)
2016-08-04,30,POINT(-95.72 25.66)
2016-08-24,24,POINT(-104.33 39.39)
2016-08-29,43,POINT(-88.65 43.81)
2016-08-10,48,POINT(-110.43 31.58)
2016-08-17,45,POINT(-110.36 39.14)
2016-08-10,35,POINT(-117.16 46.66)
2016-08-22,27,POINT(-119.52 30.83)
2016-08-14,38,POINT(-107.34 31.61)
2016-08-11,48,POINT(-86.44 32.63)
2016-08-13,47,POINT(-98.15 25.18)
2016-08-23,10,POINT(-101.16 49.62)
2016-08-10,27,POINT(-117.08 37.62)
2016-08-18,42,POINT(-119.45 26.47)
2016-08-05,7,POINT(-83.10 48.46)
2016-08-07,32,POINT(-104.08 28.59)
2016-08-14,40,POINT(-91.49 43.01)
2016-08-22,27,POINT(-103.06 32.07)
2016-08-31,18,POINT(-94.38 36.13)
2016-08-13,3,POINT(-113.89 22.51)
2016-08-22,45,POINT(-116.84 47.63)
2016-08-24,24,POINT(-81.03 24.66)
2016-08-29,14,POINT(-106.93 37.59)
2016-08-06,29,POINT(-89.47 39.50)
2016-08-20,29,POINT(-94.27 29.31)
2016-08-19,16,POINT(-102.50 48.60)
2016-08-10,24,POINT(-110.45 27.33)
2016-08-13,7,POINT(-83.01 23.48)
2016-08-18,44,POINT(-95.51 21.65)
2016-08-27,24,POINT(-93.36 39.74)
2016-08-01,35,POINT(-112.97 20.38)
2016-08-10,42,POINT(-114.51 20.34)
2016-08-10,23,POINT(-100.14 30.40)
2016-08-07,4,POINT(-99.31 44.68)
2016-08-14,26,POINT(-109.63 31.16)
2016-08-26,18,POINT(-90.01 46.20)
2016-08-19,13,POINT(-90.68 23.54)
2016-08-20,8,POINT(-84.00 30.05)
2016-08-21,30,POINT(-102.83 35.72)
2016-08-11,6,POINT(-109.48 49.25)
2016-08-15,43,POINT(-94.90 34.88)
2016-08-15,14,POINT(-99.57 21.66)
2016-08-15,42,POINT(-85.63 25.01)
2016-08-22,41,POINT(-113.71 43.20)
2016-08-07,39,POINT(-84.23 40.22)
2016-08-17,2,POINT(-115.39 42.22)
2016-08-16,4,POINT(-119.90 45.76)
2016-08-26,22,POINT(-119.51 21.38)
2016-08-29,16,POINT(-105.44 47.61)
2016-08-31,9,POINT(-112.84 48.81)
2016-08-26,37,POINT(-118.59 44.09)
2016-08-24,14,POINT(-91.44 39.67)
2016-08-06,5,POINT(-111.02 27.45)
2016-08-22,49,POINT(-83.37 29.60)
2016-08-03,36,POINT(-86.96 37.15)
2016-08-10,14,POINT(-115.22 40.20)
2016-08-17,38,POINT(-117.89 26.70)
2016-08-22,14,POINT(-99.37 21.38)
2016-08-21,15,POINT(-103.96 46.31)
2016-08-20,22,POINT(-85.36 43.21)
2016-08-11,50,POINT(-107.57 22.59)
2016-08-03,10,POINT(-101.73 31.07)
2016-08-27,39,POINT(-108.34 43.54)
2016-08-31,1,POINT(-90.42 27.28)
2016-08-25,18,POINT(-105.27 49.16)
2016-08-08,10,POINT(-80.09 43.28)
2016-08-22,9,POINT(-90.70 36.40)
2016-08-10,35,POINT(-88.16 24.52)
2016-08-08,17,POINT(-82.70 20.72)
2016-08-26,12,POINT(-98.34 39.08)
2016-08-07,8,POINT(-92.26 20.29)
2016-08-05,43,POINT(-106.60 42.77)
2016-08-01,2,POINT(-104.95 42.14)
2016-08-02,9,POINT(-107.70 26.16)
2016-08-08,1,POINT(-80.68 32.59)
2016-08-16,23,POINT(-81.55 49.18)
2016-08-20,16,POINT(-114.31 28.39)
2016-08-28,38,POINT(-118.24 26.94)
2016-08-25,21,POINT(-86.18 32.39)
2016-08-03,2,POINT(-84.18 33.75)
2016-08-15,12,POINT(-90.08 37.42)
2016-08-14,17,POINT(-99.78 39.12)
2016-08-29,4,POINT(-104.23 37.76)
2016-08-21,9,POINT(-117.51 39.87)
2016-08-19,48,POINT(-114.77 28.75)
2016-08-07,27,POINT(-85.96 47.78)
2016-08-23,34,POINT(-104.28 44.96)
2016-08-23,8,POINT(-106.95 33.58)
2016-08-13,48,POINT(-110.66 48.31)
2016-08-16,5,POINT(-114.56 43.10)
2016-08-13,31,POINT(-115.64 23.17)
2016-08-08,29,POINT(-102.02 29.42)
2016-08-05,50,POINT(-115.17 30.75)
2016-08-21,24,POINT(-89.19 33.56)
2016-08-23,33,POINT(-101.47 45.57)
2016-08-01,38,POINT(-116.38 44.23)
2016-08-29,7,POINT(-107.83 41.14)
2016-08-25,29,POINT(-95.87 26.45)
2016-08-28,33,POINT(-85.74 24.45)
2016-08-25,15,POINT(-91.55 49.05)
2016-08-29,40,POINT(-104.15 21.47)
2016-08-04,3,POINT(-108.05 44.60)
2016-08-25,47,POINT(-113.05 48.56)
2016-08-14,43,POINT(-85.82 36.68)
2016-08-08,34,POINT(-98.00 22.84)
2016-08-06,20,POINT(-115.92 43.81)
2016-08-26,30,POINT(-115.14 21.85)
2016-08-31,42,POINT(-88.76 26.67)
2016-08-23,2,POINT(-112.07 32.02)
2016-08-17,4,POINT(-92.55 48.13)
2016-08-15,31,POINT(-116.64 37.58)
2016-08-02,26,POINT(-83.30 22.25)
2016-08-18,28,POINT(-80.11 25.93)
2016-08-08,44,POINT(-94.16 44.28)
2016-08-30,7,POINT(-116.32 45.42)
2016-08-28,32,POINT(-87.64 23.68)
2016-08-04,46,POINT(-82.31 21.52)
2016-08-15,29,POINT(-83.03 32.99)
2016-08-05,5,POINT(-91.02 34.88)
2016-08-26,6,POINT(-104.69 32.80)
2016-08-15,21,POINT(-105.84 47.25)
2016-08-22,39,POINT(-109.00 33.38)
2016-08-17,10,POINT(-114.05 38.42)
2016-08-18,5,POINT(-95.32 39.42)
2016-08-20,9,POINT(-100.04 46.48)
2016-08-11,18,POINT(-100.84 22.63)
2016-08-31,40,POINT(-104.68 32.58)
2016-08-25,41,POINT(-94.29 43.92)
2016-08-29,38,POINT(-110.03 49.82)
2016-08-15,36,POINT(-98.25 20.59)
2016-08-20,46,POINT(-104.70 41.40)
2016-08-27,21,POINT(-100.81 43.44)
2016-08-24,25,POINT(-106.24 36.97)
2016-08-29,39,POINT(-107.14 28.11)
2016-08-17,34,POINT(-118.96 37.91)
2016-08-14,19,POINT(-118.83 44.32)
2016-08-27,30,POINT(-108.76 44.26)
2016-08-30,33,POINT(-101.13 30.72)
2016-08-18,39,POINT(-96.64 26.98)
2016-08-15,28,POINT(-113.62 27.44)
2016-08-29,7,POINT(-110.35 36.01)
2016-08-06,45,POINT(-88.35 42.11)
2016-08-24,8,POINT(-89.44 48.43)
2016-08-28,42,POINT(-96.97 49.48)
2016-08-16,42,POINT(-104.46 48.06)
2016-08-15,50,POINT(-80.34 25.21)
2016-08-09,36,POINT(-110.54 29.54)
2016-08-25,47,POINT(-90.48 30.76)
2016-08-08,14,POINT(-96.34 41.10)
2016-08-27,28,POINT(-105.93 37.03)
2016-08-21,29,POINT(-114.32 48.45)
2016-08-09,15,POINT(-86.53 44.31)
2016-08-25,27,POINT(-81.18 36.26)
2016-08-25,22,POINT(-112.98 21.14)
2016-08-17,30,POINT(-117.75 38.05)
2016-08-16,26,POINT(-119.20 34.34)
2016-08-21,27,POINT(-106.73 38.42)
2016-08-08,47,POINT(-87.74 30.22)
2016-08-09,7,POINT(-112.90 44.07)
2016-08-15,21,POINT(-85.27 21.79)
2016-08-03,28,POINT(-114.09 41.14)
2016-08-23,21,POINT(-114.33 23.33)
2016-08-10,43,POINT(-98.95 30.95)
2016-08-08,17,POINT(-117.10 41.14)
2016-08-09,24,POINT(-93.51 37.58)
2016-08-11,10,POINT(-106.54 29.68)
2016-08-11,44,POINT(-80.97 41.97)
2016-08-29,31,POINT(-102.53 39.18)
2016-08-18,5,POINT(-100.51 29.52)
2016-08-03,6,POINT(-91.71 36.86)
2016-08-05,6,POINT(-84.42 38.41)
2016-08-05,6,POINT(-105.73 39.97)
2016-08-08,28,POINT(-87.42 31.35)
2016-08-13,7,POINT(-90.64 28.84)
2016-08-23,48,POINT(-112.89 20.05)
2016-08-05,48,POINT(-91.92 37.19)
2016-08-23,24,POINT(-85.97 43.12)
2016-08-07,9,POINT(-97.30 25.46)
2016-08-03,36,POINT(-107.27 44.26)
2016-08-14,4,POINT(-95.54 39.19)
2016-08-14,38,POINT(-115.84 34.89)
2016-08-11,36,POINT(-106.75 22.33)
2016-08-18,36,POINT(-106.13 29.59)
2016-08-15,22,POINT(-94.55 48.89)
2016-08-14,43,POINT(-87.13 40.10)
2016-08-02,8,POINT(-90.83 30.07)
2016-08-07,27,POINT(-119.54 26.29)
2016-08-27,23,POINT(-92.27 30.51)
2016-08-14,43,POINT(-88.52 41.61)
2016-08-13,49,POINT(-118.07 33.15)
2016-08-29,28,POINT(-103.21 24.99)
2016-08-25,47,POINT(-103.44 46.45)
2016-08-19,4,POINT(-105.95 31.26)
2016-08-31,19,POINT(-86.85 43.66)
2016-08-23,39,POINT(-96.88 42.75)
2016-08-01,20,POINT(-110.98 33.54)
2016-08-28,23,POINT(-88.03 21.00)
2016-08-29,7,POINT(-119.20 27.83)
2016-08-25,37,POINT(-115.81 30.25)
2016-08-19,33,POINT(-84.48 24.83)
2016-08-13,14,POINT(-117.00 48.26)
2016-08-16,10,POINT(-80.88 30.14)
2016-08-01,43,POINT(-80.59 46.80)
2016-08-31,31,POINT(-91.82 32.94)
2016-08-12,15,POINT(-93.85 38.22)
2016-08-10,7,POINT(-102.63 21.61)
2016-08-25,23,POINT(-106.76 49.23)
2016-08-13,36,POINT(-103.63 36.62)
2016-08-28,24,POINT(-82.98 36.20)
2016-08-29,8,POINT(-93.58 28.92)
2016-08-31,49,POINT(-116.16 31.79)
2016-08-27,18,POINT(-98.01 34.73)
2016-08-14,37,POINT(-117.82 20.11)
2016-08-18,15,POINT(-116.49 44.72)
2016-08-24,28,POINT(-95.00 34.41)
2016-08-24,36,POINT(-116.12 26.21)
2016-08-18,50,POINT(-94.47 49.31)
2016-08-26,40,POINT(-101.06 23.47)
2016-08-20,40,POINT(-88.60 34.13)
2016-08-29,44,POINT(-84.20 27.95)
2016-08-08,42,POINT(-94.33 31.63)
2016-08-16,36,POINT(-105.16 31.44)
2016-08-08,2,POINT(-112.54 21.34)
2016-08-09,39,POINT(-102.41 27.90)
2016-08-14,43,POINT(-86.52 36.93)
2016-08-16,45,POINT(-113.95 40.89)
2016-08-01,18,POINT(-116.13 40.04)
2016-08-13,2,POINT(-87.67 32.42)
2016-08-11,12,POINT(-89.74 26.83)
2016-08-22,18,POINT(-117.56 31.61)
2016-08-22,45,POINT(-99.10 48.97)
2016-08-26,49,POINT(-92.52 48.09)
2016-08-13,20,POINT(-97.09 27.07)
2016-08-24,22,POINT(-108.05 31.84)
2016-08-06,23,POINT(-85.84 21.04)
2016-08-27,1,POINT(-97.15 35.50)
2016-08-15,12,POINT(-97.14 49.48)
2016-08-30,10,POINT(-114.10 48.48)
2016-08-05,37,POINT(-102.04 48.47)
2016-08-20,43,POINT(-113.31 26.36)
2016-08-18,26,POINT(-112.29 21.28)
2016-08-01,5,POINT(-116.87 40.49)
2016-08-30,10,POINT(-111.92 44.68)
2016-08-13,48,POINT(-114.08 37.85)
2016-08-19,41,POINT(-107.21 41.81)
2016-08-19,2,POINT(-87.71 22.61)
2016-08-22,6,POINT(-97.75 36.56)
2016-08-01,48,POINT(-85.74 35.59)
2016-08-03,34,POINT(-83.31 20.37)
2016-08-21,14,POINT(-91.98 37.63)
2016-08-14,25,POINT(-88.73 23.38)
2016-08-05,27,POINT(-114.01 37.00)
2016-08-28,30,POINT(-96.69 48.94)
2016-08-15,22,POINT(-115.99 23.17)
2016-08-06,11,POINT(-88.82 43.57)
2016-08-02,24,POINT(-85.30 46.40)
2016-08-09,20,POINT(-84.88 27.92)
2016-08-13,47,POINT(-93.81 37.16)
2016-08-11,21,POINT(-101.08 25.17)
2016-08-07,50,POINT(-103.88 38.55)
2016-08-15,37,POINT(-92.77 32.05)
2016-08-11,39,POINT(-104.17 46.37)
2016-08-11,6,POINT(-92.38 21.48)
2016-08-25,4,POINT(-100.99 28.06)
2016-08-29,10,POINT(-105.10 30.14)
2016-08-13,11,POINT(-88.25 29.33)
2016-08-09,49,POINT(-86.29 45.75)
2016-08-25,40,POINT(-92.61 49.17)
2016-08-31,4,POINT(-110.88 29.01)
2016-08-27,44,POINT(-90.25 43.22)
